,host_verifications,host_response_rate,host_acceptance_rate,host_is_superhost,latitude,longitude,accommodates,amenities,minimum_nights,beds,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,host_number_of_years,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,closeness_to_landmark,closeness_to_subway
1606,4,100,100,1,42.35157,-71.14026,4,28,29,3.0,0.03333333333333333,0.35,0.34444444444444444,0.3315068493150685,146,4.97,4.99,4.95,4.99,4.97,4.97,4.96,0,109,2.1397260273972605,0,0,1,0,1,0,0,0,3.1829684355128616,3.4477454724875956
1607,4,97,92,0,42.32586,-71.09781,1,28,30,1.0,0.0,0.08333333333333333,0.05555555555555555,0.12602739726027398,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,45,10.005479452054795,0,0,0,1,0,0,1,0,1.8752959616619316,0.6436903340470591
1608,4,97,92,0,42.32423,-71.09594,1,27,30,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.26301369863013696,1,4.0,5.0,5.0,4.0,2.0,4.0,5.0,0,50,10.005479452054795,0,0,0,1,0,0,1,0,1.951163520777376,0.6831014838712908
1609,4,97,92,0,42.32336,-71.09434,1,28,30,1.0,0.0,0.0,0.0,0.021917808219178082,1,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0,52,10.005479452054795,0,0,0,1,0,0,1,0,1.9981432752128963,0.75990218889307
1610,4,97,92,0,42.32351,-71.09593,1,28,30,1.0,0.1,0.05,0.03333333333333333,0.2547945205479452,3,5.0,5.0,4.67,5.0,5.0,5.0,5.0,0,45,10.005479452054795,0,0,0,1,0,0,1,0,1.9952076531198175,0.6970289599166924
1611,6,100,50,1,42.38097,-71.02861,2,42,1,1.0,0.3333333333333333,0.6666666666666666,0.7555555555555555,0.3041095890410959,43,4.95,4.91,5.0,4.95,4.91,4.84,4.84,0,199,8.635616438356164,0,0,0,1,0,0,1,0,2.8454508895644395,0.9157332992110488
1612,5,100,94,1,42.30585,-71.11294,4,50,5,2.0,0.0,0.0,0.044444444444444446,0.2219178082191781,47,5.0,5.0,4.98,4.96,5.0,4.98,4.94,0,130,2.147945205479452,0,0,0,1,1,0,0,0,3.832195629165107,1.0197619573177161
1615,3,100,86,1,42.32232,-71.09491,2,34,29,1.0,0.0,0.43333333333333335,0.6222222222222222,0.4,20,5.0,5.0,5.0,5.0,5.0,4.95,4.9,0,85,5.197260273972603,0,0,0,1,0,0,1,0,2.067824272479575,0.772151578652017
1616,3,100,86,1,42.32296,-71.09292,2,28,7,1.0,0.2,0.36666666666666664,0.5666666666666667,0.38082191780821917,12,5.0,5.0,5.0,5.0,5.0,4.67,4.92,0,87,5.197260273972603,0,0,0,1,0,0,1,0,2.025334129004235,0.8371467177073032
1617,3,100,86,1,42.32363,-71.0952,2,28,10,1.0,0.0,0.15,0.43333333333333335,0.35342465753424657,7,5.0,5.0,5.0,5.0,5.0,5.0,4.71,0,128,5.197260273972603,0,0,0,1,0,0,1,0,1.9836020611061527,0.7190851935686272
1620,3,100,98,1,42.35784,-71.0712,3,47,4,2.0,0.0,0.08333333333333333,0.15555555555555556,0.663013698630137,99,4.98,4.98,4.98,4.97,4.97,5.0,4.87,1,300,8.783561643835617,0,0,0,1,1,0,0,0,0.34757676714361163,0.648801240224409
1623,5,90,98,1,42.30806,-71.0717,2,29,1,1.0,0.0,0.0,0.0,0.0,21,4.76,4.9,4.95,4.95,5.0,4.19,4.71,0,48,2.1205479452054794,0,0,0,1,0,0,1,0,3.5309402568901027,1.4481462662243976
